depth,tropismN,tropismS,rRLD,An,prld_stand,prld_highr,prld_cont,vrld_sl,vrld_2sc,vrld_4sc,vrld_sc_ir,vrld_sc_ip,prvd_stand,prvd_highr,prvd_cont,vrvd_sl,vrvd_2sc,vrvd_4sc,rlc
-10.0,1.0,0.025,3.1886721589884384,0.24534204165388512,3.111248781861012,3.2154721081674666,3.2205702348799425,3.800573776041532,3.0806296467621053,3.364136473611128,3.769980832608337,3.7045595760045957,0.01415872607238266,0.015157071480940726,0.015009124157450284,0.01774663533459409,0.014414237623821822,0.015730367505936378,16.346354166666668
-20.0,1.0,0.025,1.992106042939292,0.3148624142569337,1.8603916307280748,1.968200738840673,2.01881966143882,2.3743883373356196,2.020870630006267,2.136078017731306,2.408655376131875,2.3092798383015327,0.008578590604072104,0.008863285739449337,0.009120089601618841,0.011222635977235518,0.00953032456148175,0.010058618408290726,10.126302083333334
-40.0,1.0,0.025,1.2816628704125155,0.36006232065911314,0.7865037473016535,0.8306471544561305,0.9051396571807093,1.5276121382642223,1.0458342938439378,1.1801303424384395,1.2273650952484985,1.3800134999094893,0.0033606687319413186,0.0034310274778225824,0.0038583747817006633,0.007286447908570865,0.005029748944302485,0.005652394310268099,4.59375
-60.0,1.0,0.025,0.8282301997644272,0.4010715074043523,0.3589893271019638,0.39347814057906183,0.4248955629925961,0.9871663880142827,0.8047667530634744,0.8281891290637207,0.8952476111630014,0.9357977133436804,0.0014720089277545823,0.0017054613482671097,0.0018933996708495882,0.00479381009166581,0.0038933286553292975,0.004046502921983845,2.204427083333333
-80.0,1.0,0.025,0.4103844463471676,0.4486463217472638,0.3516398920889432,0.2862312854333041,0.2761696043697115,0.4891366334057873,0.4310650078183671,0.4472257656911569,0.44393949489051243,0.5697772336640892,0.0016613738594615408,0.0013540464341042107,0.0013258748772990605,0.0024397450492760603,0.0021234230896027472,0.0021859891212994208,1.42578125
-120.0,1.0,0.025,0.011020715695985043,0.49920444696089444,0.03173791440857347,0.01693795521994367,0.01866447280063771,0.01313557524228439,0.0058510021773850954,0.01993948770257076,0.0015629131841402525,0.03987897540514152,0.00020640059760214887,7.664871824910058e-05,9.280372135121788e-05,7.373985270974302e-05,4.5953663641527256e-05,0.00011061131945168504,0.09895833333333334
-10.0,1.0,0.025,3.2092758349792234,0.2438557822680008,2.964176543327615,3.1331739616900918,3.2364304690606747,3.8185101696580435,3.013970010428681,3.1958317588227545,3.4181469890504017,3.6503452525809363,0.01391233414452674,0.01455350090187199,0.015070159446982966,0.017827795454768248,0.013949906051463111,0.014861857089724944,16.333333333333336
-20.0,1.0,0.025,2.005485461571561,0.312749646154702,1.6300133056546877,1.7451128667505025,1.815970819974972,2.3861977043683873,1.9620402134348416,2.09833236797576,2.416514264324335,2.206262389341495,0.007136649825725963,0.008059503388215681,0.008200478951626204,0.011282756659540606,0.009274510368852842,0.009928577072750772,9.158854166666666
-40.0,1.0,0.025,1.2853568761193392,0.3595082516137918,0.8078440468100367,0.8643638017380958,0.9135896583537164,1.529363182062961,1.4662824102763907,1.4640973284951275,1.4811281765023403,1.7552208144658517,0.003541255242091583,0.0037517812431592428,0.0040104969768219294,0.007291620333806811,0.006895201947988908,0.006934394183939582,4.700520833333333
-60.0,1.0,0.025,0.8287245104937259,0.40140010578680735,0.4855602809586845,0.545427486959686,0.5459742098000243,0.986045804063976,0.8763166756307788,0.8466222404934709,0.9514550819073345,0.9748981074384616,0.002126427739424743,0.0023650467815083645,0.0023353551393798496,0.004788193721282202,0.0042268946725215455,0.0041322518495872694,2.8307291666666665
