depth,tropismN,tropismS,rRLD,An,prld_stand,prld_highr,prld_cont,vrld_sl,vrld_2sc,vrld_4sc,vrld_sc_ir,vrld_sc_ip,prvd_stand,prvd_highr,prvd_cont,vrvd_sl,vrvd_2sc,vrvd_4sc,prcd_stand,prcd_highr,prcd_cont
-10.0,1.0,0.025,3.9940904969816438,0.22179176792295258,0.9703551110247514,0.9383014858651741,0.9521312796604887,0.642658683401534,0.8529634361544018,0.8008330895620691,0.1551721005692751,1.446494078554864,0.022723287768034638,0.020661789221835647,0.02121232200508015,0.012640828769563782,0.017203868041315237,0.01607712644595906,0.022723287768034638,0.020805555555555556,4.48
-20.0,1.0,0.025,2.833651064098436,0.295778395770609,0.6407097006540147,0.5840286080924182,0.5934183838920576,0.4559412120103562,0.30516753069356484,0.29191091375250006,0.24085837026371815,0.3429634572412825,0.014203630554307858,0.011400111055492133,0.011175443076741435,0.008995273232276144,0.005508970413382531,0.005370019016089279,0.014203630554307858,0.013077777777777777,2.7996666666666665
-40.0,1.0,0.025,0.969874859827494,0.4234534658046419,0.11844475309072391,0.08924757289193652,0.09837795722420341,0.15605517725550153,0.1964309657771012,0.1690794743649863,0.18457981974215149,0.1535791289878208,0.003666766140225428,0.001886857603972443,0.002545637991900507,0.004365419459967395,0.005137444697117429,0.004946722348967283,0.003666766140225428,0.0019583333333333336,0.462
-60.0,1.0,0.025,0.36820915778499486,0.4696477336992866,0.028956938953592658,0.01349427149530758,0.015759001085647217,0.0592457313466776,0.03583591887451788,0.03484606763777173,0.0010031006080712303,0.06868903466747224,0.0003862152676754096,0.00040769589412251216,0.0002681138347797202,0.0015417940287086598,0.00044516897841690415,0.000243425138041714,0.0003862152676754096,0.0003027777777777778,0.07344444444444445
-80.0,1.0,0.025,0.2913425160555639,0.4765119100830206,0.020903198357251917,0.022782818823562707,0.015741141800936803,0.04687770543222608,0.054683366795998466,0.03941359034737095,2.0637227019083185e-05,0.07880654346772281,0.0003060766788401232,0.00017329418222718438,0.00024606201263515737,0.0012460023672760682,0.001453573550558029,0.0007403423891470029,0.0003060766788401232,0.0004805555555555556,0.07322222222222222
-120.0,1.0,0.025,0.07402460172730486,0.4946068778389294,0.024328460924559123,0.0031326869471040033,0.011221163175026793,0.011910734902312179,0.02353415407575553,0.01826920549724315,0.0,0.0365384109944863,0.0003785508505285343,8.236205826465334e-05,0.0002957291802991547,0.00030990223278546823,0.0005592137216194142,0.0002895144299413887,0.0003785508505285343,6.944444444444444e-05,0.05611111111111111
-10.0,1.0,0.025,3.9880684254814285,0.22208012769829327,0.9000706382196804,0.92037895838564,0.9043027515793219,0.6413441112105964,0.8642254285666697,0.9425672142321517,0.11940629007775741,1.765728138386545,0.01655729131341203,0.020036409800038936,0.01861538650957279,0.012648462899265774,0.019062763392489895,0.0183920061563088,0.01655729131341203,0.020519444444444444,4.253111111111111
-20.0,1.0,0.025,2.8261026994369236,0.2940986975200615,0.5447533871143773,0.5378256381788298,0.5438435650299932,0.45448175171203103,0.23074643499621755,0.330933825657164,0.11405991113063091,0.5478077401836968,0.008608857217573544,0.010235939700150609,0.009405479470850079,0.008915162464246429,0.0032147880338386954,0.0054353091182062045,0.008608857217573544,0.012130555555555556,2.570222222222222
-40.0,1.0,0.025,0.964741620126412,0.42435426730529585,0.10346907962819821,0.1056215933922123,0.10996949259889828,0.15514562211483446,0.2513973729231838,0.16957606802015018,0.15491822389290344,0.18423391214739684,0.003490096957594008,0.003165838176282412,0.003190040439558187,0.0044347364515790934,0.007651460380453754,0.005362191490072267,0.003490096957594008,0.002347222222222222,0.5146666666666667
-60.0,1.0,0.025,0.3722940957778262,0.4696323650508953,0.04238682642014193,0.03217961232301279,0.03791537617304403,0.05987074455392753,0.08961291331466613,0.08744090889587786,0.011198691098553443,0.16368312669320226,0.001800509317110567,0.0009956901798418769,0.0012424705814535549,0.0016278109468776125,0.0024042806194876456,0.002002652249542695,0.001800509317110567,0.0007138888888888888,0.17333333333333334
