depth,tropismN,tropismS,rRLD,An,prld_stand,prld_highr,prld_cont,vrld_sl,vrld_2sc,vrld_4sc,vrld_sc_ir,vrld_sc_ip,prvd_stand,prvd_highr,prvd_cont,vrvd_sl,vrvd_2sc,vrvd_4sc,prcd_stand,prcd_highr,prcd_cont
-10.0,1.0,0.025,3.1845937625956044,0.2444680960765177,5.041174582294323,4.983874977700296,5.069505063282686,4.335629556639053,4.091391530146613,4.253665171717937,3.9338764765766276,4.573453866859255,0.024081027728165318,0.023713259639407614,0.024201771544081055,0.02024682683775004,0.01919146356698932,0.019827477043936413,0.024081027728165318,0.24467857142857144,24.448095238095238
-20.0,1.0,0.025,2.000904421879179,0.31424950368261795,2.6120868963332113,2.5542275342803316,2.5862441485120296,2.7241089439421735,2.4492508513831326,2.54318747360206,2.4293957201100618,2.6569792270940633,0.012428136070834905,0.012084293422204595,0.01226169569267841,0.01288538782484897,0.011675318152507367,0.012041399150095106,0.012428136070834905,0.1263809523809524,12.59452380952381
-40.0,1.0,0.025,1.2844991719455976,0.36128257181980244,1.003104492470299,1.0175718307105739,1.0460041103469493,1.7487670298099858,2.0822549965970905,1.9637805583559789,1.6571394021074977,2.270421714604454,0.004860861794367307,0.004999959236440391,0.00510114926045897,0.008347220312680911,0.010046964914674097,0.009411768201492383,0.004860861794367307,0.04905952380952381,4.942142857142857
-60.0,1.0,0.025,0.836518915206692,0.4028233137261921,0.5393628799836646,0.5007600762392144,0.5380408016278949,1.1388693201803288,1.288863312303725,1.2151171555618443,1.2386025044918307,1.1916318066318565,0.002588667771906691,0.002409910497777496,0.0026412099786997565,0.005514639909035564,0.006280715882674716,0.005900969602734597,0.002588667771906691,0.02430952380952381,2.5785714285714287
-80.0,1.0,0.025,0.4184799826519657,0.4511437196921928,0.26585983421098675,0.24784516521761094,0.24644962066586482,0.5697348914509128,0.6140857834773809,0.5930800555154404,0.5111493992039458,0.6750107118269335,0.0013356797125994185,0.0012026622969142692,0.0011972045124788737,0.0028474849159892033,0.0030566175705361953,0.0029416080278808054,0.0013356797125994185,0.011845238095238096,1.1888095238095238
-120.0,1.0,0.025,0.01126972663153286,0.503844267263944,0.02724335562026666,0.026314942528709195,0.023467189126257684,0.015343043264360246,0.04407159856748881,0.02724872271036474,0.0,0.05449744542072948,0.00014159339683231638,0.00013749625518294587,0.0001253038259809846,8.463127017787112e-05,0.0002624279328005963,0.00015532244264775726,0.00014159339683231638,0.0012738095238095238,0.11619047619047619
-10.0,1.0,0.025,3.176532563001682,0.2447004578543564,5.358899076376309,5.132792040010428,5.2762997648275745,4.3120176901227385,4.120411288933572,4.059064258748072,4.052762148788029,4.065366368708073,0.025364298668617984,0.024454097116129357,0.02522775010375687,0.02013454064343141,0.019159447379545464,0.01888049870160023,0.025364298668617984,0.2510416666666667,25.39666666666667
-20.0,1.0,0.025,2.0049039660410823,0.31395027587343005,2.8520191163204087,2.651011592417584,2.7593933658615,2.7215780720336995,2.7164007656148557,2.5411821832173698,2.186640353218171,2.8957240132165634,0.013231409829611993,0.01255994540248655,0.013050336631786784,0.01287024635271513,0.012880720653865266,0.011972507912725198,0.013231409829611993,0.13071428571428573,13.393333333333333
-40.0,1.0,0.025,1.2646972621126769,0.3629716432134527,0.8774352936009725,0.8538724164628363,0.8757533822351885,1.7167766609407706,2.0139169476171164,1.8425287904038534,1.7670525192465665,1.9180050615611368,0.004252506653728555,0.004104374660419999,0.004221797281909319,0.008196983927035897,0.009614172274344426,0.00877657162343126,0.004252506653728555,0.04116071428571429,4.139523809523809
-60.0,1.0,0.025,0.8347610147402131,0.4025768038886864,0.42911823384330716,0.4285729918846801,0.4299132189030156,1.1331551593424358,1.2684835345424692,1.1005631711512485,0.9534893858531411,1.2476369564493548,0.002096981768692886,0.0021031348070032134,0.0020891429928689255,0.005477209635128847,0.006142466283581526,0.005355113658019776,0.002096981768692886,0.02078571428571429,2.0630952380952383
-80.0,1.0,0.025,0.4203802237570384,0.450669685048497,0.24561435418375197,0.23391922824872718,0.25428592104675335,0.5706495763749375,0.451684723457797,0.498745946147494,0.4076226293322961,0.5898692629626912,0.0011954130480543244,0.0011596865413654389,0.0012531207098727334,0.0028565605344740706,0.00220668532188995,0.00249236783655109,0.0011954130480543244,0.011363095238095238,1.2261904761904763
-120.0,1.0,0.025,0.014124714999180723,0.5038082746349908,0.023782962490446292,0.025991520835286563,0.02261846823066342,0.01917374361396622,0.05737891846456999,0.051885902054692325,0.002828725153374517,0.10094307895601018,0.00011769997301126203,0.00012400852970791744,0.00011511786716381526,0.00010203218365325351,0.0002956073212689888,0.00028269940308660584,0.00011769997301126203,0.001244047619047619,0.11023809523809523
-10.0,1.0,0.025,3.1800343422041415,0.24458349275973507,5.339335131354547,5.176605692783612,5.290736320311902,4.3247593807739335,4.336664240667106,4.2544185256256055,4.387436750561759,4.121400300689513,0.025160989293793956,0.02485688052966494,0.025261748293111192,0.020195259646991787,0.020324682605432128,0.019912987240488785,0.025160989293793956,0.25377976190476187,25.450714285714287
-20.0,1.0,0.025,2.0137644177498926,0.31358308498491183,2.7077401592794206,2.6307895259921636,2.689286718694275,2.738664309611261,2.5990369599238576,2.593871131915366,2.5163175888969143,2.671424674933816,0.012670896446071214,0.012530018305713833,0.012727869984262676,0.01294743017381267,0.012188924910187042,0.012231222784306833,0.012670896446071214,0.1297559523809524,13.070714285714285
-40.0,1.0,0.025,1.272482393064524,0.36192722725387294,0.8973244164303532,0.849801072816471,0.8603633718070638,1.7305411118488445,1.5066797221732222,1.7284383621789554,1.584690793604988,1.872185930752927,0.004289636028314404,0.004056475612775842,0.004141439880549177,0.008254433366989763,0.00715319360458326,0.008247720448274267,0.004289636028314404,0.04067857142857143,4.076904761904762
-60.0,1.0,0.025,0.8316204337167175,0.40310556736116915,0.4299372260739668,0.3723994543277883,0.39399865577124343,1.1309809533273214,1.1970126960626957,1.1999299858998254,1.1337267210873663,1.2661332507122853,0.0020747529060186837,0.001780936290011774,0.0019427889121734377,0.005484044259007357,0.0059143068950981694,0.005890314374185304,0.0020747529060186837,0.018089285714285714,1.8935714285714285
-80.0,1.0,0.025,0.41896620262527257,0.4506356259143495,0.21607290249275435,0.21814909015393372,0.22477710834352876,0.5697825306424203,0.6458724844330439,0.6357859082844578,0.5564720264437297,0.715099790125188,0.0009907988016562726,0.0010494406958096922,0.001086574311712698,0.0028447143558866625,0.0031442752179538483,0.003169925575282197,0.0009907988016562726,0.01057142857142857,1.0864285714285715
-120.0,1.0,0.025,0.012168131735774477,0.5036360698854664,0.01996966279684379,0.013819454807862213,0.014050235175814699,0.016548325020386046,0.030804013696173187,0.02219986369605852,0.0,0.04439972739211704,0.00012917454995650272,7.021279382903897e-05,7.927427810550302e-05,9.129611432751169e-05,0.00015695366896337524,0.00011352512476324462,0.00012917454995650272,0.0006607142857142856,0.0719047619047619
-10.0,1.0,0.025,3.1884340753527467,0.245596034510154,5.235914768435668,5.026084791120006,5.1850148079866365,4.342177029239657,4.1941964529657145,4.234655564397387,4.545858235138701,3.923452893656074,0.02511781157277228,0.024159227073970804,0.024855390427570605,0.020277599056022933,0.019519063773450415,0.019727999927311637,0.02511781157277228,0.2467440476190476,24.91357142857143
-20.0,1.0,0.025,1.9925021988468816,0.3149512714529291,2.5996417652790322,2.452124831264026,2.5443260458405534,2.7134941711426985,2.7519437693855324,2.6079433084417243,2.5504476188637124,2.6654389980197415,0.012341412722734679,0.011605061555541266,0.012043169244195238,0.01283402267854533,0.01293451285563784,0.012301800029440417,0.012341412722734679,0.12183928571428573,12.401428571428571
-40.0,1.0,0.025,1.2685263557966253,0.36271117469488035,0.834314864438044,0.8519891444753067,0.8697531289943964,1.7275458337697678,1.718048066978249,1.511099612121104,1.4584353397065335,1.563763884535678,0.004048419465936146,0.004033805698038658,0.0041892462107530355,0.008240905654327882,0.008346008979524519,0.007231078866631609,0.004048419465936146,0.04092857142857143,4.111428571428571
-60.0,1.0,0.025,0.8435233629297101,0.4028921187329384,0.5026949554086118,0.4961110146999615,0.48886195795237697,1.1487544304127268,0.9937150554698564,1.0354371988898612,0.839805774538234,1.2310686232414878,0.0024150838668975045,0.002404865713412386,0.002388503681669207,0.005562198677002606,0.004794531475250333,0.005016758610914687,0.0024150838668975045,0.02393452380952381,2.33
-80.0,1.0,0.025,0.41765443601210434,0.45130224974855543,0.26881279277701803,0.24979893049620783,0.25177320722810925,0.5687837525733278,0.5958407098266062,0.6519221698466439,0.4894019648924851,0.8144423748008028,0.0012890942687202914,0.001253130358378159,0.0012516617160802045,0.0028458003074137493,0.002936249960518621,0.0032174930837178743,0.0012890942687202914,0.012095238095238095,1.2123809523809523
-120.0,1.0,0.025,0.01018891387480409,0.5042932175657651,0.008043881666796628,0.016457110955552502,0.012627875783234386,0.013875798192622472,0.056352952291457134,0.039791833941368315,0.0003870913504304584,0.07919657653230618,5.217644533647279e-05,8.596750590613889e-05,7.008498828960506e-05,7.67056945452296e-05,0.0002757356379700374,0.00020434155381597626,5.217644533647279e-05,0.0007738095238095238,0.06166666666666667
-10.0,1.0,0.025,3.204930952377727,0.2436369167100011,5.178103175735534,5.021258830660338,5.223372271003856,4.360404902062698,4.450804090050219,4.285648589695673,4.5538989540657555,4.017398225325542,0.02462881319186006,0.0239808630767457,0.02490728223088509,0.020343181284904074,0.020726422321682342,0.01991930253165772,0.02462881319186006,0.24700595238095238,25.147380952380953
-20.0,1.0,0.025,2.0142907637163505,0.31446622071520014,2.743651183292213,2.5848359272172248,2.7271450333452787,2.7405031343256314,2.763187951903407,2.7822723303184964,2.958563306705381,2.605981353931598,0.013203990755377556,0.012366276572014109,0.013052296947457591,0.012953897621276685,0.013056370520155689,0.013139561905286212,0.013203990755377556,0.128125,13.220714285714285
-40.0,1.0,0.025,1.277313832594634,0.36220455100514015,0.9248739236104514,0.8955541966484029,0.9434572497360858,1.737823865748516,1.8705369990473215,1.8746287315021333,1.7754303916976886,1.973827071306588,0.004448104796970428,0.004335700761250251,0.00455572550899937,0.00828852201666034,0.008823906215048706,0.008888218170845693,0.004448104796970428,0.043386904761904765,4.46
-60.0,1.0,0.025,0.8207370332323433,0.40499957547693666,0.4633014673072144,0.47324283034832676,0.48442631361016725,1.116637405356782,1.0166504501269698,1.0077421882055428,0.8968108929115883,1.1186734834994965,0.0023425738219250555,0.002373789476760207,0.002421870401203067,0.00542082645369521,0.004914176725041021,0.004928055685043975,0.0023425738219250555,0.022785714285714288,2.3052380952380953
