depth,tropismN,tropismS,rRLD,An,prld_stand,prld_highr,prld_cont,vrld_sl,vrld_2sc,vrld_4sc,vrld_sc_ir,vrld_sc_ip,prvd_stand,prvd_highr,prvd_cont,vrvd_sl,vrvd_2sc,vrvd_4sc,rlc
-10.0,1.0,0.025,4.04618397108573,0.22330555006603306,0.5817012148475029,0.5559702210636217,0.6027825160537159,0.5826419558113585,0.7137137600221101,0.5937732164375077,0.14555436449385162,1.0419920683811636,0.011930615716897611,0.007893103446267171,0.012297696371930018,0.011517656404019626,0.01594635929249177,0.01219176246171656,3.015625
-20.0,1.0,0.025,2.8049941073041498,0.29754832124683445,0.40630610968222775,0.26108938034751705,0.3484714894887099,0.4039132339008512,0.35261299537615987,0.28890108901797024,0.3103423701574664,0.26745980787847384,0.007264798688497641,0.0030441482426335014,0.004644870142126318,0.00801329805120101,0.006948079858651237,0.005345797154394802,1.745
-40.0,1.0,0.025,0.9459698767450779,0.4261700614585383,0.07847947059416652,0.10658064638367189,0.10298369006608629,0.13621766658758383,0.09160999061853467,0.12167498919597343,0.12345727123598967,0.11989270715595733,0.003099493261819089,0.0007161432573557442,0.0020873827167859882,0.0038991069488006516,0.002677133550140985,0.0032963322422613767,0.5075000000000001
-60.0,1.0,0.025,0.3669712752661871,0.46985619313907695,0.041740741371518196,0.04506562806885371,0.03153522423690709,0.05284308945801748,0.057422516245859104,0.05612691016667826,0.10910429286355515,0.003149527469801359,5.223017167216987e-05,0.0019192115934582264,0.0007440742711324222,0.0014060898981136873,0.0016340158658056626,0.001517067652760339,0.15187499999999998
-80.0,1.0,0.025,0.3042110837508902,0.47552823380370274,0.021810488676704584,0.010114958882331732,0.022068260985815845,0.04380575428174374,0.03603849117438472,0.04331479780383089,0.06437866380488846,0.022250931802773374,2.6804634832102064e-05,1.0053192893043613e-05,0.0001611700608967272,0.001178365722244224,0.0008849744721649785,0.001261653329562097,0.10875
-120.0,1.0,0.025,0.07572657747440996,0.4939704244093704,0.0,0.009040778766401317,0.013231086261836873,0.010904467399872397,0.0005508653083211841,0.00027543265416059206,0.0,0.0005508653083211841,0.0,9.00666484681144e-06,9.018822532100083e-05,0.00030354661003769606,7.607092552769593e-07,3.8035462763847966e-07,0.065625
-10.0,1.0,0.025,4.039914570249488,0.22407227282608655,0.5743602888858333,0.5042605539581956,0.5338606424384931,0.5839650692871596,0.817819838625744,0.6408420022443443,0.12099388364197547,1.1606901208467135,0.008727903729591448,0.009508486156269775,0.010135239236541162,0.011492324094600711,0.013450676810223022,0.011469524167439692,2.6537499999999996
-20.0,1.0,0.025,2.8061265224331517,0.2990472257843618,0.3730953451908555,0.30162399225506814,0.3556441906564838,0.40562240626786666,0.22701847611057036,0.2852347552355364,0.3770348097801425,0.19343470069093038,0.007591391975811028,0.004154425788096861,0.005411798698062109,0.007929333462731602,0.003566721582733883,0.00545313940742726,1.76
-40.0,1.0,0.025,0.9517917978743923,0.4260489822735602,0.11128403628539404,0.11507654973048247,0.12507514029336747,0.1375804249143677,0.1536081288031085,0.11156376577287999,0.14060399592044182,0.08252353562531807,0.00247233486960297,0.003420153981145023,0.0030154327934534394,0.0039061126176121717,0.004195338793331979,0.0037116290028622614,0.60375
-60.0,1.0,0.025,0.37924219665333075,0.4693656241270645,0.0,0.035989566481982815,0.01862113619905359,0.05481902941120862,0.017292447428546683,0.00953368102474146,0.004259572864444776,0.014807789185038145,0.0,0.0006506200684201357,0.00039919208842246676,0.0014357878124442534,0.00017805105264579713,9.030011419485678e-05,0.095625
-80.0,1.0,0.025,0.29301934669353286,0.4763052584835123,0.013646054267883562,0.019302931958310704,0.01909367217935042,0.042355614238595136,0.03573968540563382,0.03417674343532298,0.0021866231457263016,0.06616686372491964,0.00023549214367343975,0.00010450541937538855,8.700243693958341e-05,0.0011581257808274176,0.0007622158519716533,0.0009197669714158482,0.09375
-120.0,1.0,0.025,0.08305998094292541,0.4937080760420066,0.009398543834686371,0.0066069945480536265,0.0069490577057290635,0.012006226043371553,0.012330160883478368,0.006741021241644788,0.009041557968080503,0.004440484515209075,1.2091542670232945e-05,6.524723737605983e-06,2.4415789531308922e-05,0.0003159409867980976,0.001305141693747014,0.0006531974109114259,0.034375
-10.0,1.0,0.025,4.013576995046246,0.22563420542809318,0.705426876523209,0.6796723488594043,0.7003526179482435,0.5810833197477406,0.5365470135063741,0.6358260466229753,0.1961784457029305,1.07547364754302,0.01581604273540177,0.013370899242856393,0.013260205759791484,0.01138768427997807,0.010198179471308003,0.013043315407591197,3.51375
-20.0,1.0,0.025,2.815112044609128,0.29711549500295575,0.35624487118846404,0.3677096850383573,0.4008178627605768,0.4075702682077171,0.39827617702318774,0.43134163833470174,0.5331434721343196,0.32953980453508375,0.005351807639871608,0.00411679482584462,0.005801324299503845,0.008011631438403048,0.0077733238308090305,0.008319340730624394,2.000625
-40.0,1.0,0.025,0.9571182753965838,0.4250716294584153,0.05921704739294407,0.09143133666979944,0.09738638999834426,0.1385710216958902,0.13853436366042202,0.16237000380891445,0.21303591563627847,0.11170409198155064,0.001444169029242873,0.0013519371774610464,0.0024369165396609495,0.00394195604585192,0.003550261206211295,0.004468677160623063,0.48375
-60.0,1.0,0.025,0.374308560054564,0.46948672021559484,0.01180969107152914,0.018040054698146533,0.02318574826674264,0.054192173453993096,0.11602499313220402,0.06269256210746765,0.00967948487960978,0.11570563933532553,1.142818357947927e-05,1.8816388765489054e-05,0.00028124748781268205,0.0014280972983240479,0.003599508559713625,0.0018052336504763627,0.11499999999999999
-80.0,1.0,0.025,0.30124947108420186,0.4754646945076052,0.036561133561020594,0.014624640486837903,0.022087191838321862,0.043614721468135685,0.05382460989685431,0.04242934137988486,0.027212588235562066,0.05764609452420767,0.0007144665607434825,1.4763751905459e-05,0.000453017251322298,0.0011971418124383077,0.002085601162155386,0.0014497755431898717,0.11
-120.0,1.0,0.025,0.07360102721879236,0.4938176606131271,0.02330935001373282,0.0013243395048813638,0.010700229409691429,0.01065591348712793,0.005506056814751142,0.004332774181646059,0.0013169679744697673,0.0073485803888223514,2.9387671299647738e-05,1.0073715851802054e-06,5.638623548498129e-05,0.0003064333598351713,0.0008274686127019103,0.0004811553050757717,0.054375
-10.0,1.0,0.025,4.039479353624413,0.22481645470766673,0.7725770432027222,0.5797587734797792,0.6384329504004876,0.5824410155855609,0.6123455710582312,0.629787142627337,0.20521209727377687,1.054362187980897,0.017517497936625676,0.009263183039895555,0.011354491633222875,0.01163004026489889,0.014088187589250185,0.013173457297370154,3.1825
-20.0,1.0,0.025,2.807717303338552,0.298934662343959,0.4955286127081508,0.39544291606455867,0.4215579541044455,0.40483675604539554,0.3198583909464685,0.34648433962737807,0.4676795148508358,0.2252891644039207,0.006888703609012029,0.007242411656579436,0.005940251094725872,0.008103604467432525,0.006165778310631431,0.006138730516423705,2.084375
-40.0,1.0,0.025,0.9702245769776734,0.42484701396620167,0.08825067399286397,0.0831943083038825,0.08786962268397888,0.1398939166390129,0.19861706973946436,0.18079636082810435,0.2221531903252333,0.13943953133097509,0.0018739529211886645,0.002729890277260617,0.0025430275345672184,0.003967503228563341,0.004924499415367137,0.0049278900236249725,0.43625
-60.0,1.0,0.025,0.3682691710261021,0.46984158185083325,0.0436058246568243,0.04248513073967762,0.03605347114183579,0.05309968221247136,0.06270741999899414,0.05235235912834196,0.08181238436718923,0.0228923338894946,5.075606207915296e-05,0.0014340780168750889,0.0004399890682984741,0.0014448889889066955,0.0018331091080056156,0.001596907671457338,0.180625
-80.0,1.0,0.025,0.2916876120555312,0.4762116333963781,0.023868669425199007,0.025474568503705934,0.026249496364371846,0.042057605480002404,0.060628385789864916,0.05639482936620729,0.09918931565972659,0.013600343072688044,0.000418250121458046,3.0399942721543307e-05,0.00038817573350499973,0.0011601207527202726,0.002462946374216971,0.001778431820646449,0.12625
-120.0,1.0,0.025,0.07540672719431589,0.4939542686595503,0.0055868983268738005,0.0045245677232743815,0.0029131304081714414,0.010872681086891458,0.005511272240984937,0.0027556361204924685,0.00508194111383318,0.0004293311271517569,6.333579716027059e-06,5.904856123936975e-06,1.1071757013567732e-05,0.00027922378889409804,0.0007904491432405101,0.00039522457162025505,0.01625
-10.0,1.0,0.025,4.003895208942441,0.22623380835198245,0.6356767273297954,0.5281614895620532,0.5569844604148058,0.5787448048604731,0.7657461274688399,0.8505478648752207,0.4048933346036419,1.296202395146798,0.01342336428270407,0.008061872850504862,0.009264490114366447,0.011423455129551141,0.01467454906211817,0.01726859872729593,2.763125
