depth,tropismN,tropismS,rRLD,An,CV,prld_stand,prld_highr,prld_cont,vrld_sl,vrld_2sc,vrld_4sc,vrld_sc_ir,vrld_sc_ip,prvd_stand,prvd_highr,prvd_cont,vrvd_sl,vrvd_2sc,vrvd_4sc,prcd_stand,prcd_highr,prcd_cont
-10.0,1.0,0.025,4.0108581005377495,0.22121331905049918,0.6567947676464091,0.7419825399695918,0.719222324378294,0.7813551642158427,0.6476283504733589,0.7390507552440794,0.9304261645876829,0.16188957342993893,1.6989627557454279,0.018328462557857715,0.013159831129639293,0.015418561493969165,0.012618967063234943,0.013795234388114837,0.018244048969634597,0.018328462557857715,0.016583333333333332,3.8716666666666666
-20.0,1.0,0.025,2.8164943503222974,0.294963008564055,0.2743007506907319,0.4913639007807219,0.5295044250703693,0.49172562958040056,0.4547758969513802,0.2765324200010502,0.3637665576549903,0.10677260893594033,0.6207605063740401,0.008108485337988173,0.010042092117935488,0.007603314460135095,0.00896711171779677,0.00525844828529643,0.007237795479503009,0.008108485337988173,0.012375,2.4411111111111112
-40.0,1.0,0.025,0.9489786884567685,0.4258586193437147,0.30381176309306457,0.0787618559417155,0.10045846770046282,0.14031096009960833,0.1532304278122502,0.141244261912309,0.17041053600228617,0.14070116126505683,0.20011991073951543,0.0021191094934187573,0.0021104347024790498,0.003398571832021185,0.004323925212785401,0.0037055293396601936,0.004500711697905611,0.0021191094934187573,0.002333333333333333,0.6766666666666666
-60.0,1.0,0.025,0.3875380010471699,0.46851502265022615,0.5892144279051201,0.025529482373149115,0.024165117179579157,0.029863198391476126,0.06257528690189056,0.015884907054364295,0.033354059760474675,0.03873174471051419,0.027976374810435106,2.4740306025987866e-05,3.1123424977403095e-05,0.0002362592783275296,0.001618168490723757,0.0003643574088468009,0.0006427138842841205,2.4740306025987866e-05,0.0005972222222222223,0.1433333333333333
-80.0,1.0,0.025,0.2917773898375485,0.47620095412154156,0.7543114657359412,0.04325080046423585,0.010186822110176892,0.028624613529341265,0.04711293816666781,0.007093796481218604,0.021623029376998927,0.015783270651272288,0.02746278810272558,0.0011469861169094635,1.1978965987391893e-05,0.0005962846910779072,0.0012887991500340353,8.38515781411513e-06,0.0004322706655099179,0.0011469861169094635,0.0002638888888888889,0.13777777777777778
-120.0,1.0,0.025,0.08005276968442626,0.4937306509306848,1.4353882560862399,0.0046006431865955435,0.006295669078826997,0.005267878434149028,0.012926022781658053,0.009623685247355573,0.009532669361398082,0.0,0.019065338722796164,0.00033856261118413644,8.325471482281037e-06,0.00016126288363869226,0.0003403683509724185,1.1906137770563411e-05,1.167532370349998e-05,0.00033856261118413644,0.000125,0.030555555555555558
-10.0,1.0,0.025,3.9927323856397003,0.2233636553128689,0.6999749921957462,0.7455088637379266,0.8405685515299058,0.7783288779419595,0.6414465243642196,0.8321217597985393,0.7725981698749128,0.14143642505110882,1.4037599146987167,0.01681367635903176,0.01636992760303634,0.014571904461097476,0.01249151517661727,0.015735899635630216,0.01409207281225098,0.01681367635903176,0.019541666666666666,3.8627777777777776
-20.0,1.0,0.025,2.8198039267262756,0.29709768980817697,0.2772060478479111,0.40662660878344103,0.3921694740347458,0.4403276248842224,0.45301143514965536,0.3245834612721087,0.3013972826343819,0.19084655360392977,0.4119480116648341,0.00931304066095041,0.007219193638924445,0.007110750699610481,0.008912545370599686,0.006660400866375162,0.006052501701752099,0.00931304066095041,0.009208333333333332,2.1838888888888888
-40.0,1.0,0.025,0.9522694508008596,0.4245076949654032,0.31373463303136245,0.09091433990576984,0.12467909670443111,0.10647650757110091,0.1529854421677126,0.11472038445994258,0.1522301863041278,0.0824531458291923,0.22200722677906315,0.001035855527256192,0.0037210204815894933,0.0021105071557209034,0.0042992478347562675,0.002920602384605324,0.0038641560779633945,0.001035855527256192,0.0029444444444444444,0.5244444444444445
-60.0,1.0,0.025,0.3736971557431123,0.4691948583527976,0.6051383993103991,0.03943564140925681,0.04617916094449689,0.025949492393671343,0.060035764625334116,0.0627529014050632,0.0527710155087065,0.006042921170714882,0.09949910984669817,5.08299499692531e-05,0.0005651885463933728,0.00017475521168934795,0.0015837092130006323,0.000661499032056181,0.0005205494067730262,5.08299499692531e-05,0.000986111111111111,0.12555555555555556
