depth,tropismN,tropismS,rRLD,An,CV,prld_stand,prld_highr,prld_cont,vrld_sl,vrld_2sc,vrld_4sc,vrld_sc_ir,vrld_sc_ip,prvd_stand,prvd_highr,prvd_cont,vrvd_sl,vrvd_2sc,vrvd_4sc,prcd_stand,prcd_highr,prcd_cont
-10.0,1.0,0.025,3.1949456408067256,0.24460925858880456,0.08934523977798554,3.23720004280408,3.1515742319261597,3.222708895410765,4.347272732351966,4.267306106671174,4.185427063411019,4.045512451339997,4.325341675482058,0.014538472393481095,0.014500369060414709,0.015017089510718517,0.020291446460719276,0.019736518965938338,0.01935723214711222,0.014538472393481095,0.1662202380952381,16.68095238095238
-20.0,1.0,0.025,2.0039379699327737,0.314221395645036,0.16366297446476918,2.115599480538438,1.9301562256285856,2.0512815235024067,2.7267020705284364,2.7040492003321104,2.7326557530224513,2.585899077596389,2.8794124284485254,0.00971108681951612,0.008795208190771325,0.009378710609796746,0.012889280409390132,0.012689824164290368,0.012861517770679589,0.00971108681951612,0.09967261904761904,10.448809523809523
-40.0,1.0,0.025,1.267147906037938,0.36340018277017905,0.29237101456327813,0.7971213135228364,0.697675183458891,0.7953355059335416,1.7241725397195444,1.8237055882154753,1.9266221667529673,1.8654921874824233,1.987752146023525,0.003377079507741856,0.00306750797220895,0.003453885446934657,0.008228619799832292,0.00874420180669061,0.00924606940303152,0.003377079507741856,0.036309523809523805,4.097619047619047
-60.0,1.0,0.025,0.8246224728441206,0.40439762100282967,0.4765308910965398,0.4531391456549027,0.38346127994341617,0.4105877708492911,1.1220406209398657,0.9568614186045565,1.1481048609021587,1.0628804275721633,1.2333292942321545,0.0020181489639803842,0.0017438371601026265,0.0018460945332849199,0.005445338153653862,0.004797480891295914,0.005671987795325128,0.0020181489639803842,0.019821428571428573,2.132142857142857
-80.0,1.0,0.025,0.41851372712328755,0.4516357740717689,0.5193735895881163,0.2926339248574269,0.23972518899429626,0.2402133761062853,0.5694598652322177,0.6887413610836092,0.7036193495897949,0.5435393099440213,0.8636993892355662,0.0013841837641343567,0.0010084388494769785,0.0011210739640380774,0.002850241049100029,0.0034360097616322623,0.0035305283764601016,0.0013841837641343567,0.012351190476190477,1.2619047619047619
-120.0,1.0,0.025,0.012538924694972767,0.5040716884712286,0.4932450567975207,0.02566843896771858,0.012928223061808752,0.014874233237744798,0.017061362397923604,0.02243766550675533,0.013070246238279262,0.004740463456746745,0.021400029019811778,0.0001173177401691479,6.904185113182923e-05,7.772368731281329e-05,9.396931877003078e-05,0.00014774190583372845,8.8411920424174e-05,0.0001173177401691479,0.0006845238095238096,0.08333333333333334
-10.0,1.0,0.025,3.206864662166702,0.24457628681841911,0.11085149237449657,3.5156749708451516,3.421907663664224,3.48747896337491,4.358240567686153,3.9276501299376463,4.038759657028281,4.060713591046393,4.016805723010237,0.016580626293201776,0.016171465077650122,0.016326038623761627,0.020346010382864058,0.018277033597567115,0.018765152129878653,0.016580626293201776,0.179375,17.99642857142857
-20.0,1.0,0.025,2.003424671075253,0.3145498904779527,0.19049695704536668,1.9814726837049705,2.0898791509183106,2.147257322149205,2.7227237802683337,2.784526242409806,2.690898703876227,2.6184805602023604,2.763316847550092,0.009139011862533419,0.00969290763432076,0.009864538340013766,0.012878543434319977,0.013239959521511217,0.012739907746593225,0.009139011862533419,0.10541666666666667,10.752380952380953
-40.0,1.0,0.025,1.280090404471304,0.3624744897779284,0.319457950977714,0.900445721833392,0.9100666988582035,0.8867845467458197,1.7396873640757975,1.7512222797333916,1.885929392472353,1.6464562307327948,2.1254025542119064,0.0037445791706563784,0.003910915568918645,0.003838745867065004,0.008293567933650216,0.008312187896772204,0.008980036890223756,0.0037445791706563784,0.045654761904761906,4.525
-60.0,1.0,0.025,0.8185270282519879,0.4047469471220432,0.5108106569569528,0.5343630200529751,0.4667820627529511,0.44803662006567035,1.1124066888015005,1.455429811532701,1.3360343382785325,1.280204077082452,1.3918645994746075,0.0022807945120179385,0.0018661300075409793,0.0019002093492170922,0.005397033125206869,0.007156011687065544,0.006482781069628772,0.0022807945120179385,0.02428571428571429,2.3464285714285715
