depth,tropismN,tropismS,prld_stand,prld_highr,prld_cont,vrld_sl,vrld_2sc,vrld_4sc,vrld_sc_ir,vrld_sc_ip,prvd_stand,prvd_highr,prvd_cont,vrvd_sl,vrvd_2sc,vrvd_4sc,prcd_stand,prcd_highr,prcd_cont
-10.0,1.0,0.025,3.2276234514212825,3.498641195116516,3.608131309957209,4.3677847609161145,3.8847470431298783,4.045100637831698,3.929008579233239,4.161192696430161,0.014979433884457004,0.01633614866315789,0.016745073610437287,0.02038029847590459,0.017904779640509565,0.018756579566114446,0.014979433884457004,0.18154761904761907,18.616666666666667
-20.0,1.0,0.025,2.2748036027532867,2.1153441567179567,2.1948379145175108,2.74136953506386,2.711222151714547,2.7733516159393203,2.8075040024720304,2.739199229406621,0.010259266797323734,0.009695328158767025,0.010054777563508081,0.012979832380334604,0.012871262210041642,0.013134750975753623,0.010259266797323734,0.10782738095238095,11.033333333333333
-40.0,1.0,0.025,1.0047067495030053,0.8353264240823357,0.8952689767802822,1.7329184725469955,1.5863740910009645,1.664483333450833,1.6779031327023013,1.6510635341993567,0.004170031191410843,0.0036607000806917825,0.0038173899865550243,0.008270265772634507,0.0075065344839704675,0.007978859494795995,0.004170031191410843,0.04342261904761905,4.629761904761905
-60.0,1.0,0.025,0.5237941033460811,0.3957903643114395,0.43471787709400034,1.121135433342834,1.2043531090763542,1.1708671524375809,1.0489504948634827,1.2927838100116837,0.002540035845399943,0.001695783509434325,0.0018629944027922023,0.005438525539342809,0.0058630244540336055,0.005676751437731587,0.002540035845399943,0.021249999999999998,2.291666666666667
-80.0,1.0,0.025,0.36623916127625844,0.2427394812203743,0.28607185943400676,0.5524212149712243,0.533886055668915,0.5518449254648111,0.43981108032234484,0.6638787706072788,0.0017963845088654422,0.001067931915162229,0.0013110755511936698,0.0027701409635245817,0.0027191305154096023,0.0027568348282198227,0.0017963845088654422,0.012529761904761905,1.4880952380952381
-120.0,1.0,0.025,0.03538079920940613,0.019128171114427096,0.014668936119619403,0.01589622708310735,0.017504669604117777,0.008921387287068334,0.0009723227726957122,0.016870451801440953,0.0001705469675743034,9.573887855260427e-05,7.572975411997569e-05,8.897251469324016e-05,0.00011130308709912662,5.6129528190042394e-05,0.0001705469675743034,0.0009821428571428572,0.0761904761904762
-10.0,1.0,0.025,3.0613213328489177,2.778532272445191,2.9300755821576407,4.344276659961537,4.2601854710564835,4.105803364124968,4.059957231057943,4.1516494971919435,0.013534403848175924,0.012467385523170355,0.013156725953713044,0.020263789560961552,0.019574255898999617,0.01903473913293363,0.013534403848175924,0.14616071428571428,15.248809523809523
-20.0,1.0,0.025,2.13823062315518,2.081096378894013,2.1678862018132996,2.7241800470823945,2.6983541812844183,2.7883678828743745,2.7653000071410663,2.811435758607686,0.009782655009562128,0.009203332096833003,0.009606131783875895,0.012890021590927697,0.012668371916531222,0.013161589597665436,0.009782655009562128,0.10657738095238094,10.922619047619047
-40.0,1.0,0.025,0.7340517650958398,0.8217278687973935,0.8637639012525273,1.735498201295535,1.9123091738451954,1.9660242534667252,1.8441745955500923,2.0878739113833573,0.003262331494959274,0.0035618955770155393,0.003686075617802195,0.008283916772518187,0.00914499864376541,0.009349196053567804,0.003262331494959274,0.04294642857142857,4.494047619047619
-60.0,1.0,0.025,0.48477114653190123,0.509311413473838,0.5305073838379074,1.1272229559617233,1.143915403987321,1.0646927118070948,0.9407814338725569,1.188603989741639,0.00191442848504371,0.002196155292030515,0.002238690567854212,0.005464737813500276,0.005530247661452331,0.005181164759039881,0.00191442848504371,0.02586309523809524,2.7297619047619044
-80.0,1.0,0.025,0.1826042221127323,0.2075604288848151,0.2453454929874649,0.5518495007815766,0.5451180223326818,0.46351086311489853,0.37831990440105384,0.5487018218287426,0.0008971325401541152,0.0009524472143816019,0.0011446548035647756,0.002762372985924645,0.0027728781594602583,0.0023096889787147246,0.0008971325401541152,0.010952380952380953,1.2892857142857141
-120.0,1.0,0.025,0.0003474033721185644,0.0014114846380455335,0.017059829257390413,0.01665252549713796,0.008908001672641276,0.01982533211276562,0.0,0.03965066422553124,9.822598935120028e-07,6.69257501864102e-06,8.951522377635723e-05,9.204005098940781e-05,5.440282324024374e-05,0.00010981113297872927,9.822598935120028e-07,0.00014880952380952382,0.08928571428571427
-10.0,1.0,0.025,3.5058007916011205,3.274482815051589,3.3846634083203755,4.35184597613646,4.481830568519948,4.281360346449903,4.401075578170464,4.161645114729312,0.01628957944661604,0.015073472212000954,0.015701862173875272,0.020319536860476915,0.020933194118073147,0.020043139187048878,0.01628957944661604,0.17157738095238093,17.325
-20.0,1.0,0.025,2.2822490178124673,2.038769545800041,2.2347935128878023,2.7411403091218007,2.876773420421646,2.7496265758357903,2.6516642721799015,2.847588879491689,0.010067048559777381,0.009259048800236624,0.009996491504350028,0.012959661521866896,0.01367974004215976,0.013020049809679968,0.010067048559777381,0.10339285714285713,11.307142857142857
-40.0,1.0,0.025,0.7841372899188717,0.9295408275029089,0.9339449031134481,1.7284352489894352,1.5292128106790037,1.555279994882259,1.3440132696433749,1.7665467201211382,0.0031817625324855577,0.004114426352644152,0.004111618536027551,0.008253343894392312,0.007340664045620471,0.00738818470035387,0.0031817625324855577,0.047202380952380954,4.761904761904762
