architecture,day,krs,length,surface
0,0,0.000233410258464312,4.0647497349752975,1.9195299034954145
0,1,0.0005782194099311717,9.753822675432685,4.311728110216587
0,2,0.0010502791587266164,18.584246716505262,7.298563904056258
0,3,0.001661832527065996,32.48993507046656,11.00889904296025
0,4,0.002395972099363593,51.6666424346338,15.421645400591004
0,5,0.0032589067917144555,77.80736805856179,20.663512937551854
0,6,0.00425188945005837,112.01893602666925,26.843250484788953
0,7,0.0053535316862374244,154.55055234494324,33.96997783589809
0,8,0.006566917833491836,207.64810853651642,42.2067959760846
0,9,0.007884917511043596,272.4672951389985,51.62265419388959
0,10,0.009297534806846688,350.3303378422778,62.28419441522349
0,11,0.010792282012688642,442.3494466932508,74.2816515220143
0,12,0.012358281847066005,549.1957263124681,87.66118506463553
0,13,0.01398628152350057,671.0342811300352,102.42517422523989
0,14,0.01567915036856325,811.992996112966,118.92607385681735
0,15,0.017380552929066616,984.8407305040748,136.98124608217228
0,16,0.01907262131518309,1179.573647683263,156.43026438325364
0,17,0.02075478080802944,1389.406528120161,177.24392062628306
0,18,0.02242785308399587,1615.3055789307768,199.54210710465028
0,19,0.02415264902280578,1856.753189116443,223.3005921983609
0,20,0.026169918523474806,2113.206536258489,248.46095070196742
0,21,0.028282529903199953,2386.008818262121,275.1786400363272
0,22,0.03052858152478999,2673.9486989931524,303.34174967082566
0,23,0.03289748787566026,2976.1265335976236,332.78211036149685
0,24,0.03540371301688495,3296.5058180666606,363.8370617985172
0,25,0.037933953852668637,3632.2673132741093,395.84587660085907
0,26,0.04048745719141718,3982.795191705694,428.8482290445215
0,27,0.043011667571625174,4346.893752512077,462.7061867226377
0,28,0.04550386943531284,4722.739727524537,497.2812568081474
0,29,0.04796067008098562,5110.641560319558,532.645085602383
0,30,0.05039058177071073,5511.967983159378,568.883422283161
0,31,0.05277828282492335,5927.149574757629,606.1409925081186
0,32,0.05501534736014461,6356.503222383031,644.3684167840037
0,33,0.05710433940968977,6795.147717255539,683.177143376704
0,34,0.05909492996833796,7246.245388792384,722.7294635073899
0,35,0.06106889962513123,7709.536537633637,763.1130897063188
0,36,0.06302999603126595,8181.910736420407,804.0265343292012
0,37,0.0649742312928401,8666.497540634093,845.7363400816448
0,38,0.06689802603698741,9161.723431389462,888.1419157986433
0,39,0.06878347059954523,9665.04482380445,931.0371815512785
0,40,0.0706522448182364,10175.39286542259,974.3600199765149
0,41,0.07251746093112248,10694.44495873099,1018.1967361121956
0,42,0.07438415895088668,11221.282835987768,1062.4754847286258
0,43,0.07631789523868915,11757.205120275205,1107.3393843254967
0,44,0.07826046483733907,12297.747754711847,1152.4191585488861
0,45,0.08009332855846028,12843.62330887072,1197.787015513588
0,46,0.0819344152633534,13396.5956381349,1243.5682207003151
0,47,0.08370636642721982,13952.177292533741,1289.4510699821221
0,48,0.0854699674731256,14509.722746120511,1335.3957536821513
0,49,0.08718338552328399,15072.800064759916,1381.6957414442752
0,50,0.088847658955624,15641.551300010364,1428.366520920909
0,51,0.09049702395498656,16212.454240946563,1475.1590238118572
0,52,0.09211722899734046,16790.83372209186,1522.426978442519
0,53,0.09365588152887047,17371.82260325752,1569.756524318589
0,54,0.09520487456518044,17956.377842183672,1617.2328503060821
0,55,0.09667797986168093,18543.257562580482,1664.8117264870957
0,56,0.09813352392546902,19131.402273209253,1712.4080909944373
0,57,0.09960047947324271,19722.30558819711,1760.1132714378095
